#,ALPHABETICAL,Count: 35,Trace 1,Trace 2,Tracks,Spoor,Omen,Encounter,,Arctic,Desert,Wood,Hills,Jungle,Mountain,Plains,Swamp,City,Sea,Cave,Astral,Chaos,Death,Law,Fey,Magic,Air,Earth,Fire,Water,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6,Link,room 1 generic,room 2 sleep,room 3 eat,room 4 work,room 5 trap,room 6 boss
0023,HARPY,HARPY,You nearly step in a stinky pile of guano and feathers.,This area has been vandalized in a very petty manner.,A fait cacophony of bickering birds grows loader as you go further along the path.,A poor creature is running away covered in bird shit. It incoherently babbles about not being able to take it anymore.,"The harpies' ""Cacophony"" attack.",2D6 harpies.,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,bitter <a href='/monsters/harpy'>HARPIES</a> squatting the ruins of an old tower,<a href='/monsters/harpy'>HARPIES</a> harassing a rdmNOBLE,vicious <a href='/monsters/harpy'>HARPIES</a> defacing the temple of a forgotten god,<a href='/monsters/harpy'>HARPIES</a> luring travelers to their doom,a decadent <a href='/monsters/harpy'>HARPY CLAN</a>,nomadic <a href='/monsters/harpy'>HARPIES</a> chasing war and famine,<a href='/monsters/harpy'>HARPIES</a>,<u><b>ONCE WAS A SHRINE</b></u><br>Scattered sandstone; Long-gone roof framing the sky; Eroded marble busts; Dusty piles of old and new trash<br><i><br><br>1 random <a href='http://tenfootpolemic.blogspot.com/2014/01/200-failed-medieval-careers.html'>weapon</a> and 2 extra scrounged<a href='http://tenfootpolemic.blogspot.com/2014/01/200-failed-medieval-careers.html'>things</a></i>.,<u><b>ONCE WAS A TOWER</b></u><br> Was 4 stories high but has no floors now; Guano-crusted horizontal support beams; Foul trash heaps; no roof.<br><i>2D6 harpies.<br><br>2 random <a href='http://tenfootpolemic.blogspot.com/2014/01/200-failed-medieval-careers.html'>weapons</a> and 4 extra scrounged<a href='http://tenfootpolemic.blogspot.com/2014/01/200-failed-medieval-careers.html'>things</a></i>.,<u><b>ONCE WAS A KING</b></u><br>Rancid smell of piss and garbage. Long stone banquet table crumbling under trash heaps. Vandalized throne.<br><i>1D8 harpies.<br><br>1 crown worth a bag of gold and 2 extra scrounged<a href='http://tenfootpolemic.blogspot.com/2014/01/200-failed-medieval-careers.html'>things</a></i>.,<u><b>ONCE WAS A GARDEN</b></u><br> Brown and dry. Gravel paths. Heaps of Trash.<br><i><br><br>4 scrounged<a href='http://tenfootpolemic.blogspot.com/2014/01/200-failed-medieval-careers.html'>things</a></i>.,<u><b>SUN-DRIED CLIFF</b></u><br>Desperatly clinging shrubbery. 100' high. Scorching wind.<br><i>2D6 harpies</i>.,<u><b>PARLIAMENT OF GUANO</b></u><br>Unbearable smell. Natural amphitheatre. Big twig nests up and down.<br><i>4D6 harpies<br><br>1 magical item and 1 bag of gems</i>.
0024,BAT - Olitiau,OLITIAU BAT,You run into a team of 1D6 <a href='/monsters/bandits'>VENOM HUNTERS</a> on a mission.,You notice a single sleeping olitiau bat on the ceiling.,You hear the distinctive screeches of bats from further inside the dungeon.,There's a carcass full of tiny bites lying on the floor. There are no signs of struggle.,A cacophony of bat screeches is getting closer.,1 swarm of big white bats.,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,deadly venomous <a href='/monsters/bat-olitiau'>BATS</a>,dangerous <a href='/monsters/bat-olitiau'>CLAWED BATS</a>,rare <a href='/monsters/bat-olitiau'>CLAWED BATS</a> that are hunted for their deadly venom,venomous <a href='/monsters/bat-olitiau'>BATS</a> that nest near water sources,nocturnal venomous <a href='/monsters/bat-olitiau'>BATS</a> known locally as OLITIAUS,deadly <a href='/monsters/bat-olitiau'>CLAWED BATS</a> that are taboo to the locals,<a href='/monsters/bat-olitiau'>OLITIAU BATS</a>,<u><b>WIDE RIVER SECTION</b></u><br> Cacophony of birds; Bone-white driftwood; Lazy and muddy.<br><i>Bountiful with <a href='/monsters/fish'>fishes</a></i>.,<u><b>GIANT SUNKEN WILLOW</b></u><br> Seductive curtains of leaves; Summertime heat; Branches like wet hair. Acrid and humid air. <br><i>2 sleeping swarms of Olitiau bats.</i>,<u><b>DUSTY GOAT PEN</b></u><br>Neglected wooden fence. Persistent flies. Ramshackle loafing shed.<br><i>2D6 starving goats. 1 dying from olitiau venoms.</i>,<u><b>MANGROVE MAZE</b></u><br> Waist-high calm water. Taunting canopy monkeys. Roots like spider legs.<br><i>1D6 <a href='/monsters/death-head-tree'>death's head fruits.</a><br><br>Machete and bones of a lost adventurer</i>.,<u><b>TREETRUNK RIVER BRIDGE</b></u><br> Slippery mud cliffs (80''); Creeping bark moss; Bristle shrubbery.<br><i> Save or collapse.<br><br>Dead miner with a bag of gold nuggets at the bottom</i>.,<u><b>RIVERSIDE CAVE</b></u><br>Dripping wet clay. Hairy roots. Pungent smell of guano.<br><i>1D6 sleeping swarms of olitiau bats.<br><br>Magical spring that has the effect of a <a href='https://goblinpunch.blogspot.com/2016/05/the-perfect-potion-list.html'>random potion</a></i>.
0025,CULTIST,CULTIST,The pungent smell of incense permeates everything.,A weird occult symbol is engraved on a surface. It is barely visible.,Occult markings seem to lead deeper into the dungeon.,A ritually killed creature propped in the center of the room.,The discordant chanting of 2D4 cultists can be heard in the next room.,2D4 cultists.,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/cultist'>rdmCULT CULT</a> performing sacrifices for their patron,<a href='/monsters/cultist'>rdmCULT CULT</a> agressively recruiting new members,<a href='/monsters/cultist'>rdmCULT CULT</a> hunting rare ingredients for a ritual,<a href='/monsters/cultist'>rdmCULT CULT</a> selling weird trinkets,<a href='/monsters/cultist'>rdmCULT CULT</a> that murders those who know too much,<a href='/monsters/cultist'>rdmCULT CULT</a> putting bounties on their ex-members,<a href='/monsters/cultist'>CULTISTS</a>,<u><b>HERETICAL IDOL</b></u><br>Grotesque posture. Apocalyptic mural. Festering offerings. Echoes of chanting. <a href='https://saltygoo.github.io/2020/11/10/extra-rules/#conditions'>Curses</a> whoever does not know the password.,<u><b>ASCETIC DORMITORY</b></u><br>Threadbare stacked beds; Candel-lit silent alcoves; Utilitarian clay pots.<br><br><u>Denizens:</u> 1D6 sleeping and 1 praying <a href='/monsters/cultist'>CULTISTS</a>.<br><br><u>Loot:</u> 1D6 <a href='/2024/06/26/currency/'>copper coin purses</a> and 1D4 vestments.,<u><b>SINISTER PANTRY</b></u><br>Pungent amphors. Netted cheese wheels. Decaying limbs. Scurrying rats.<br><br><u>Loot:</u> 1D6 rations of suspicious origin (50% each be carrying <a href='/2024/01/01/ghoul-rabies/'>ghoul rabies</a>.,<u><b>TORTURE CHAMBER</b></u><br>Bolted chains; Blood-caked slabs; Festering rags.<br><br><u>Denizens:</u> 1D6 captives.<br><br><u>Loot:</u> 1D6 cruel weapons.,<u><b>TRIAL OF THE FAITHFUL</b></u><br>Ember Carpet; Ominous gong; Watcheful Eye.<br><br><u>Denizens:</u> 1 solemn <a href='/monsters/cultist'>CULTIST</a>.,<u><b>BLASPHEMOUS CHAPEL</b></u><br>Solemn pews; Oozing candles; Summoning circle.<br><br><u>Denizens:</u> 3D6 chanting <a href='/monsters/cultist'>CULTISTS</a> & 1 screaming <a href='/monsters/abyssal-wretch#abyssal-hulk'>ABYSSAL HULK</a>.<br><br><u>Loot:</u> 1D6 precious grotesque idols.
0026,CULTIST - Hivemind,HIVEMIND CULTIST,The pungent smell of incense permeates everything.,A weird occult symbol is engraved on a surface. It is barely visible.,Occult markings seem to lead deeper into the dungeon.,A ritually killed creature propped in the center of the room.,The discordant chanting of 2D4 cultists can be heard in the next room.,2D4 cultists.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/cultist#cultist-variants'>STRANGE CULTISTS</a> thinking as one single mind,the <a href='/monsters/cultist#cultist-variants'>FOLLOWERS</a> of a powerful psychic,a <a href='/monsters/cultist#cultist-variants'>NEW CULT</a> awakening psychic powers,<a href='/monsters/cultist#cultist-variants'>CULTISTS</a> selling mind-expending trinkets,<a href='/monsters/cultist#cultist-variants'>PSY-CULTIST</a> that wipes the minds of those who know too much,<a href='/monsters/cultist#cultist-variants'>HIVEMIND CULTISTS</a> building an elevator,<a href='/monsters/cultist#cultist-variants'>HIVEMIND CULTISTS</a>,<u><b>HERETICAL IDOL</b></u><br>Grotesque posture. Apocalyptic mural. Festering offerings. Echoes of chanting. <a href='https://saltygoo.github.io/2020/11/10/extra-rules/#conditions'>Curses</a> whoever does not know the password.,<u><b>ASCETIC DORMITORY</b></u><br>Threadbare stacked beds; Candel-lit silent alcoves; Utilitarian clay pots.<br><br><u>Denizens:</u> 1D6 sleeping and 1 praying <a href='/monsters/cultist'>CULTISTS</a>.<br><br><u>Loot:</u> 1D6 <a href='/2024/06/26/currency/'>copper coin purses</a> and 1D4 vestments.,<u><b>SINISTER PANTRY</b></u><br>Pungent amphors. Netted cheese wheels. Decaying limbs. Scurrying rats.<br><br><u>Loot:</u> 1D6 rations of suspicious origin (50% each be carrying <a href='/2024/01/01/ghoul-rabies/'>ghoul rabies</a>.,<u><b>TORTURE CHAMBER</b></u><br>Bolted chains; Blood-caked slabs; Festering rags.<br><br><u>Denizens:</u> 1D6 captives.<br><br><u>Loot:</u> 1D6 cruel weapons.,<u><b>TRIAL OF THE FAITHFUL</b></u><br>Ember Carpet; Ominous gong; Watcheful Eye.<br><br><u>Denizens:</u> 1 solemn <a href='/monsters/cultist'>CULTIST</a>.,<u><b>BLASPHEMOUS CHAPEL</b></u><br>Solemn pews; Oozing candles; Summoning circle.<br><br><u>Denizens:</u> 3D6 chanting <a href='/monsters/cultist'>CULTISTS</a> & 1 screaming <a href='/monsters/abyssal-wretch#abyssal-hulk'>ABYSSAL HULK</a>.<br><br><u>Loot:</u> 1D6 precious grotesque idols.
0027,CULTIST - Cannibal,CANNIBAL CULTIST,The pungent smell of incense permeates everything.,A weird occult symbol is engraved on a surface. It is barely visible.,Occult markings seem to lead deeper into the dungeon.,A ritually killed creature propped in the center of the room.,The discordant chanting of 2D4 cultists can be heard in the next room.,2D4 cultists.,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a strange <a href='/monsters/cultist#cultist-variants'>CANNIBAL CULT</a>,<a href='/monsters/cultist#cultist-variants'>DEATH EATERS</a>,<a href='/monsters/cultist#cultist-variants'>CANNIBAL CULTISTS</a> hunting children,<a href='/monsters/cultist#cultist-variants'>CANNIBALS</a> selling body parts,<a href='/monsters/cultist#cultist-variants'>CULTISTS</a> that eat those who know too much,<a href='/monsters/cultist#cultist-variants'>CANNIBAL CULTISTS</a> crafting an abomiantion,<a href='/monsters/cultist#cultist-variants'>CANNIBAL CULTISTS</a>,<u><b>HERETICAL IDOL</b></u><br>Grotesque posture. Apocalyptic mural. Festering offerings. Echoes of chanting. <a href='https://saltygoo.github.io/2020/11/10/extra-rules/#conditions'>Curses</a> whoever does not know the password.,<u><b>ASCETIC DORMITORY</b></u><br>Threadbare stacked beds; Candel-lit silent alcoves; Utilitarian clay pots.<br><br><u>Denizens:</u> 1D6 sleeping and 1 praying <a href='/monsters/cultist'>CULTISTS</a>.<br><br><u>Loot:</u> 1D6 <a href='/2024/06/26/currency/'>copper coin purses</a> and 1D4 vestments.,<u><b>SINISTER PANTRY</b></u><br>Pungent amphors. Netted cheese wheels. Decaying limbs. Scurrying rats.<br><br><u>Loot:</u> 1D6 rations of suspicious origin (50% each be carrying <a href='/2024/01/01/ghoul-rabies/'>ghoul rabies</a>.,<u><b>TORTURE CHAMBER</b></u><br>Bolted chains; Blood-caked slabs; Festering rags.<br><br><u>Denizens:</u> 1D6 captives.<br><br><u>Loot:</u> 1D6 cruel weapons.,<u><b>TRIAL OF THE FAITHFUL</b></u><br>Ember Carpet; Ominous gong; Watcheful Eye.<br><br><u>Denizens:</u> 1 solemn <a href='/monsters/cultist'>CULTIST</a>.,<u><b>BLASPHEMOUS CHAPEL</b></u><br>Solemn pews; Oozing candles; Summoning circle.<br><br><u>Denizens:</u> 3D6 chanting <a href='/monsters/cultist'>CULTISTS</a> & 1 screaming <a href='/monsters/abyssal-wretch#abyssal-hulk'>ABYSSAL HULK</a>.<br><br><u>Loot:</u> 1D6 precious grotesque idols.
0028,CULTIST - Pig,PIG CULTIST,The pungent smell of incense permeates everything.,A weird occult symbol is engraved on a surface. It is barely visible.,Occult markings seem to lead deeper into the dungeon.,A ritually killed creature propped in the center of the room.,The discordant chanting of 2D4 cultists can be heard in the next room.,2D4 cultists.,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,a strange <a href='/monsters/cultist#cultist-variants'>CULT</a> worshipping a pig idol,<a href='/monsters/cultist#cultist-variants'>PIG-MASKED CULTISTS</a> abducting youthful villagers,<a href='/monsters/cultist#cultist-variants'>PIG CULTISTS</a> preparing a decadent feast,<a href='/monsters/cultist#cultist-variants'>PIG CULTISTS</a> selling strange cured meats,<a href='/monsters/cultist#cultist-variants'>CULTISTS</a> that turn those who know too much into pigs,decadent <a href='/monsters/cultist#cultist-variants'>PIG CULTISTS</a>,<a href='/monsters/cultist#cultist-variants'>PIG  CULTISTS</a>,<u><b>HERETICAL IDOL</b></u><br>Grotesque posture. Apocalyptic mural. Festering offerings. Echoes of chanting. <a href='https://saltygoo.github.io/2020/11/10/extra-rules/#conditions'>Curses</a> whoever does not know the password.,<u><b>ASCETIC DORMITORY</b></u><br>Threadbare stacked beds; Candel-lit silent alcoves; Utilitarian clay pots.<br><br><u>Denizens:</u> 1D6 sleeping and 1 praying <a href='/monsters/cultist'>CULTISTS</a>.<br><br><u>Loot:</u> 1D6 <a href='/2024/06/26/currency/'>copper coin purses</a> and 1D4 vestments.,<u><b>SINISTER PANTRY</b></u><br>Pungent amphors. Netted cheese wheels. Decaying limbs. Scurrying rats.<br><br><u>Loot:</u> 1D6 rations of suspicious origin (50% each be carrying <a href='/2024/01/01/ghoul-rabies/'>ghoul rabies</a>.,<u><b>TORTURE CHAMBER</b></u><br>Bolted chains; Blood-caked slabs; Festering rags.<br><br><u>Denizens:</u> 1D6 captives.<br><br><u>Loot:</u> 1D6 cruel weapons.,<u><b>TRIAL OF THE FAITHFUL</b></u><br>Ember Carpet; Ominous gong; Watcheful Eye.<br><br><u>Denizens:</u> 1 solemn <a href='/monsters/cultist'>CULTIST</a>.,<u><b>BLASPHEMOUS CHAPEL</b></u><br>Solemn pews; Oozing candles; Summoning circle.<br><br><u>Denizens:</u> 3D6 chanting <a href='/monsters/cultist'>CULTISTS</a> & 1 screaming <a href='/monsters/abyssal-wretch#abyssal-hulk'>ABYSSAL HULK</a>.<br><br><u>Loot:</u> 1D6 precious grotesque idols.
0029,CULTIST - Tiger,TIGER CULTIST,The pungent smell of incense permeates everything.,A weird occult symbol is engraved on a surface. It is barely visible.,Occult markings seem to lead deeper into the dungeon.,A ritually killed creature propped in the center of the room.,The discordant chanting of 2D4 cultists can be heard in the next room.,2D4 cultists.,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,a strange <a href='/monsters/cultist#cultist-variants'>CULT</a> worshipping a tiger idol,<a href='/monsters/cultist#cultist-variants'>TIGER-MASKED CULTISTS</a> abducting village leaders,<a href='/monsters/cultist#cultist-variants'>TIGER CULTISTS</a> hiding in the shadows,<a href='/monsters/cultist#cultist-variants'>TIGER CULTISTS</a> selling weapons and poisons,<a href='/monsters/cultist#cultist-variants'>TIGER CULTISTS</a> that assassinate those who know too much,decadent <a href='/monsters/cultist#cultist-variants'>CULTISTS</a> worshipping a RAKSHASA,<a href='/monsters/cultist'>TIGER CULTISTS</a>,<u><b>HERETICAL IDOL</b></u><br>Grotesque posture. Apocalyptic mural. Festering offerings. Echoes of chanting. <a href='https://saltygoo.github.io/2020/11/10/extra-rules/#conditions'>Curses</a> whoever does not know the password.,<u><b>ASCETIC DORMITORY</b></u><br>Threadbare stacked beds; Candel-lit silent alcoves; Utilitarian clay pots.<br><br><u>Denizens:</u> 1D6 sleeping and 1 praying <a href='/monsters/cultist'>CULTISTS</a>.<br><br><u>Loot:</u> 1D6 <a href='/2024/06/26/currency/'>copper coin purses</a> and 1D4 vestments.,<u><b>SINISTER PANTRY</b></u><br>Pungent amphors. Netted cheese wheels. Decaying limbs. Scurrying rats.<br><br><u>Loot:</u> 1D6 rations of suspicious origin (50% each be carrying <a href='/2024/01/01/ghoul-rabies/'>ghoul rabies</a>.,<u><b>TORTURE CHAMBER</b></u><br>Bolted chains; Blood-caked slabs; Festering rags.<br><br><u>Denizens:</u> 1D6 captives.<br><br><u>Loot:</u> 1D6 cruel weapons.,<u><b>TRIAL OF THE FAITHFUL</b></u><br>Ember Carpet; Ominous gong; Watcheful Eye.<br><br><u>Denizens:</u> 1 solemn <a href='/monsters/cultist'>CULTIST</a>.,<u><b>BLASPHEMOUS CHAPEL</b></u><br>Solemn pews; Oozing candles; Summoning circle.<br><br><u>Denizens:</u> 3D6 chanting <a href='/monsters/cultist'>CULTISTS</a> & 1 screaming <a href='/monsters/abyssal-wretch#abyssal-hulk'>ABYSSAL HULK</a>.<br><br><u>Loot:</u> 1D6 precious grotesque idols.
0030,CULTIST - Dream,DREAM CULTIST,The pungent smell of incense permeates everything.,A weird occult symbol is engraved on a surface. It is barely visible.,Occult markings seem to lead deeper into the dungeon.,A ritually killed creature propped in the center of the room.,The discordant chanting of 2D4 cultists can be heard in the next room.,2D4 cultists.,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/cultist#cultist-variants'>CULTISTS</a> worshipping voices in their dreams,<a href='/monsters/cultist#cultist-variants'>DRUGGED-OUT CULTISTS</a> sowing chaos,<a href='/monsters/cultist#cultist-variants'>DREAM CULTISTS</a> harvesting hallucinogenic plants,<a href='/monsters/cultist#cultist-variants'>DREAM CULTISTS</a> selling drugs,<a href='/monsters/cultist#cultist-variants'>DREAM CULTISTS</a> driving mad those who know too much,friendly <a href='/monsters/cultist#cultist-variants'>DREAM CULTISTS</a>,<a href='/monsters/cultist#cultist-variants'>DREAM CULTISTS</a>,<u><b>HERETICAL IDOL</b></u><br>Grotesque posture. Apocalyptic mural. Festering offerings. Echoes of chanting. <a href='https://saltygoo.github.io/2020/11/10/extra-rules/#conditions'>Curses</a> whoever does not know the password.,<u><b>ASCETIC DORMITORY</b></u><br>Threadbare stacked beds; Candel-lit silent alcoves; Utilitarian clay pots.<br><br><u>Denizens:</u> 1D6 sleeping and 1 praying <a href='/monsters/cultist'>CULTISTS</a>.<br><br><u>Loot:</u> 1D6 <a href='/2024/06/26/currency/'>copper coin purses</a> and 1D4 vestments.,<u><b>SINISTER PANTRY</b></u><br>Pungent amphors. Netted cheese wheels. Decaying limbs. Scurrying rats.<br><br><u>Loot:</u> 1D6 rations of suspicious origin (50% each be carrying <a href='/2024/01/01/ghoul-rabies/'>ghoul rabies</a>.,<u><b>TORTURE CHAMBER</b></u><br>Bolted chains; Blood-caked slabs; Festering rags.<br><br><u>Denizens:</u> 1D6 captives.<br><br><u>Loot:</u> 1D6 cruel weapons.,<u><b>TRIAL OF THE FAITHFUL</b></u><br>Ember Carpet; Ominous gong; Watcheful Eye.<br><br><u>Denizens:</u> 1 solemn <a href='/monsters/cultist'>CULTIST</a>.,<u><b>BLASPHEMOUS CHAPEL</b></u><br>Solemn pews; Oozing candles; Summoning circle.<br><br><u>Denizens:</u> 3D6 chanting <a href='/monsters/cultist'>CULTISTS</a> & 1 screaming <a href='/monsters/abyssal-wretch#abyssal-hulk'>ABYSSAL HULK</a>.<br><br><u>Loot:</u> 1D6 precious grotesque idols.
0031,HAG - Nigth,NIGHT HAG,A wicker effigy is ominously hanging. Was it there before?,A pig rummages through the room. It is wearing a torn piece of human clothing.,The sweet smell of pies leads deeper in the dungeon.,A single children shoe lies on the floor as if recently dropped.,A woman's coarse cackling can be heard from beyon this room. It is getting closer.,1 <a href='/monsters/hag-night'>HAG</a>,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,a children-eating <a href='/monsters/hag-night'>HAG</a>,a <a href='/monsters/hag-night'>HAG</a> selling cursed potions to desperate people,three <a href='/monsters/hag-night'>HAG SISTERS</a> that can predict the future,a wise yet cruel <a href='/monsters/hag-night'>HAG</a> in a roving chicken hut ,a mysterious <a href='/monsters/hag-night'>OLD WOMAN</a> protecting a village from calamity,a <a href='/monsters/hag-night'>WISE WOMAN</a> that can cure all illnesses,a <a href='/monsters/hag-night'>HAG</a>,<u><b>WEAVER'S WORKSHOP</b></u><br>Creaking spinning wheel. Disturbing half-finished tapestry of your demise. Colourful yarn mounds.<br><br><u>Denizens:</u> Numerous <a href='/monsters/cat'>CATS</a>.<br><br><u>Loot:</u> 1D6 yarn balls made of children hair.,<u><b>COTTAGE BEDROOM</b></u><br>Horrid handwoven bedding. Cozy hearth. Fluttering moths. Decapitated head arts and craft.<br><br><u>Denizens:</u> 1 <a href='/monsters/animated-rug'>RUG OF SMOTHERING</a>.<br><br><u>Loot:</u> Roll on the <a href='/monsters/hag-night'>hag</a> loot table twice.,<u><b>WELL-STOCKED PANTRY</b></u><br>Giant cured meat. Cooling savoury pies. Bloated flour bags.<br><br><u>Denizens:</u> 1 sleeping child in a barrel.<br><br><u>Loot:</u> 1D6 enchanted rations (save or sleep 24h).,<u><b>COZY GARDEN</b></u><br>Sprawling vines. Bulbous gourds. Freshly turned earth.<br><br><u>Denizens:</u> 1 <a href='/monsters/blindfire-vine'>STRANGLING VINE</a>.<br><br><u>Loot:</u> Bones and arrows from a local hunter.,<u><b>NEGLECTED BASEMENT</b></u><br>Barren dust floor. Dark and still atmosphere. Countless hand-prints on the walls.<br><br><u>Denizens:</u> 1D6 stunned villagers. Soulless. Facing walls.,<u><b>JUMBLED KITCHEN</b></u><br>Maze of jars and pots. Hung dried animals. Cozy heat. Alarming smell. Boiling giant cauldron.<br><br><u>Denizens:</u> 1 <a href='/monsters/hag-night'>HAG</a>.<br><br><u>Loot:</u> Roll on the <a href='/monsters/hag-night'>hag</a> loot table six times.
0032,FISH,GIANT FISH,A dead fish stinking the place.,A fish swims in a rivulet crossing the space.,A swarm of <a href='/monsters/bird'>fishing birds</a> nests here.,A school of fish quivers in a deep pool.,The room is flooded. There is movement in the water. It is coming towards you.,1 <a href='/monsters/fish'>GIANT FISH</a>.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,glutonous <a href='/monsters/fish'>GIANT FISHES</a>,migratory <a href='/monsters/fish'>GIANT FISHES</a>,stupid <a href='/monsters/fish'>GIANT FISHES</a>,<a href='/monsters/fish'>GIANT FISH</a>,ugly <a href='/monsters/fish'>GIANT FISHES</a> that love polluted waters,a sacred <a href='/monsters/fish'>GIANT FISH</a>,<a href='/monsters/fish'>GIANT FISH</a>,<u><b>TRANQUIL LAKE</b></u><br>Opaque brown water. Droning insects. Occasional splashes.<br><br><u>Denizens:</u> 2 scared <a href='/monsters/fish'>FISH SWARMS</a> and 1 hungry <a href='/monsters/fish'>GIANT FISH</a>.<br><br><u>Loot:</u> 1 <a href='/2024/06/26/currency/'>bag full gold coins</a> at the bottom.,<u><b>SEAWEED FOREST</b></u><br>Swaying semitransluscent kelp. Echoing pebble. Silence.<br><br><u>Denizens:</u> 2 swirling <a href='/monsters/fish'>FISH SWARM</a> and 1 crawling <a href='/monsters/crab'>CRAB SWARM</a>.<br><br><u>Loot:</u> 1 tangled weapon and clusters of eggs.,<u><b>SHELLFISH ROCK</b></u><br>Barnacled. Extremely sharp. Emerging from the deep dark frigid water.<br><br><u>Denizens:</u> 2 <a href='/monsters/crab'>CRAB SWARMS</a>.<br><br><u>Loot:</u> 1D4 barnacled marble sculptures.,<u><b>DERELICT FERRY CROSSING</b></u><br>Reed-lined river; Rotting boardwalk; Knee-deep mud; Rope linking two derelict docks; Small grey rowboat; No oars.<br><br><u>Denizens:</u> 1 hiding <a href='/monsters/fish'>GIANT FISH</a>.,<u><b>UNDERWATER TUNNEL</b></u><br>Naturally carved; takes 8 rounds to swim through; Deeply dark.,<u><b>FLOODED CISTERN</b></u><br>Rows of ancient stone pillars. Deep and dark water. Wrecked rowboats. Echo.<br><br><u>Denizens:</u> 1 angressive <a href='/monsters/fish'>GIANT FISH</a>.
